Date,B3SA3,BBDC4,ITUB4,PETR4,VALE3,^BVSP
2000-01-03,,,,2.627551317214966,1.7959946393966675,16930.0
2000-01-04,,,,2.4821979999542236,1.753232717514038,15851.0
2000-01-05,,,,2.4571518898010254,1.753232717514038,16245.0
2000-01-06,,,,2.4486541748046875,1.753232717514038,16107.0
2000-01-07,,,,2.4598352909088135,1.8173753023147583,16309.0
2000-01-10,,,,2.510373830795288,1.9670417308807373,17022.0
2000-01-11,,,,2.4486541748046875,1.971318006515503,16573.0
2000-01-12,,,,2.452233076095581,1.990560531616211,16617.0
2000-01-13,,,,2.381568193435669,2.0568416118621826,17298.0
2000-01-14,,,,2.4151113033294678,2.0953269004821777,17658.0
2000-01-17,,,,2.3873825073242188,2.1380887031555176,18053.0
2000-01-18,,,,2.3985631465911865,2.073945999145508,17903.0
2000-01-19,,,,2.381568193435669,2.065394163131714,17470.0
2000-01-20,,,,2.3762013912200928,2.0525660514831543,17177.0
2000-01-21,,,,2.3256630897521973,2.009803533554077,17034.0
2000-01-24,,,,2.309114456176758,2.0525660514831543,16972.0
2000-01-25,,,,2.309114456176758,2.0525660514831543,
2000-01-26,,,,2.336843490600586,2.0354602336883545,17105.0
2000-01-27,,,,2.3202953338623047,2.0525660514831543,17081.0
2000-01-28,,,,2.3202953338623047,2.0525660514831543,16734.0
2000-01-31,,,,2.281386137008667,,16388.0
2000-02-01,,,,2.3256630897521973,2.009803533554077,16522.0
2000-02-02,,,,2.370387315750122,1.9242802858352661,16868.0
2000-02-03,,,,2.437474250793457,1.9242802858352661,17457.0
2000-02-04,,,,2.499192714691162,1.9969748258590698,17932.0
2000-02-07,,,,2.5157408714294434,2.0953269004821777,18126.0
2000-02-08,,,,2.571645736694336,2.217198371887207,18686.0
2000-02-09,,,,2.5157408714294434,2.1808509826660156,18361.0
2000-02-10,,,,2.443286895751953,2.0525660514831543,18604.0
2000-02-11,,,,2.365020275115967,1.9452334642410278,18083.0
2000-02-14,,,,2.3314764499664307,1.9200034141540527,17819.0
2000-02-15,,,,2.3762013912200928,1.9670417308807373,17921.0
2000-02-16,,,,2.566279411315918,1.9670417308807373,18112.0
2000-02-17,,,,2.543917417526245,1.9242802858352661,17979.0
2000-02-18,,,,2.488011360168457,1.9242802858352661,17625.0
2000-02-21,,,,2.4821979999542236,1.9242802858352661,17700.0
2000-02-22,,,,2.4710166454315186,1.8815178871154785,17489.0
2000-02-23,,,,2.488011360168457,1.9242802858352661,17833.0
2000-02-24,,,,2.555098533630371,1.9028993844985962,17776.0
2000-02-25,,,,2.6221845149993896,1.8815178871154785,17787.0
2000-02-28,,,,2.571645736694336,1.8387562036514282,17543.0
2000-02-29,,,,2.58282732963562,1.7446802854537964,17660.0
2000-03-01,,,,2.627551317214966,1.753232717514038,17953.0
2000-03-02,,,,2.6110029220581055,1.7096154689788818,18016.0
2000-03-03,,,,2.7004523277282715,1.6886625289916992,18632.0
2000-03-06,,,,2.7004523277282715,1.6886625289916992,
2000-03-08,,,,2.764408826828003,1.6980699300765991,18283.0
2000-03-09,,,,2.8619072437286377,1.6634327173233032,18650.0
2000-03-10,,,,2.7787187099456787,1.624947190284729,18280.0
2000-03-13,,,,2.7787187099456787,1.624947190284729,17595.0
2000-03-14,,,,2.599823236465454,1.539424180984497,17222.0
2000-03-15,,,,2.6333656311035156,1.539424180984497,17382.0
2000-03-16,,,,2.649914503097534,1.5650813579559326,17642.0
2000-03-17,,,,2.6221845149993896,1.5518250465393066,17511.0
2000-03-20,,,,2.543917417526245,1.453900694847107,17526.0
2000-03-21,,,,2.5940091609954834,1.4992276430130005,18343.0
2000-03-22,,,,2.6002700328826904,1.5265954732894897,18314.0
2000-03-23,,,,2.599823236465454,1.5608044862747192,18331.0
2000-03-24,,,,2.599823236465454,1.6463285684585571,18675.0
2000-03-27,,,,2.795267105102539,1.6890901327133179,18951.0
2000-03-28,,,,2.6780900955200195,1.6377756595611572,18338.0
2000-03-29,,,,2.6669092178344727,1.6685640811920166,18053.0
2000-03-30,,,,2.605189085006714,1.6668537855148315,17647.0
2000-03-31,,,,2.638732671737671,1.7104711532592773,17820.0
2000-04-03,,,,2.616370439529419,1.753232717514038,17245.0
2000-04-04,,,,2.6025054454803467,1.6677095890045166,16758.0
2000-04-05,,,,2.7116341590881348,1.7318519353866577,16714.0
2000-04-06,,,,2.750542640686035,1.753232717514038,17146.0
2000-04-07,,,,2.767538070678711,1.7318519353866577,17514.0
2000-04-10,,,,2.7058191299438477,1.7091877460479736,16783.0
2000-04-11,,,,2.638732671737671,1.7087606191635132,16539.0
2000-04-12,,,,2.700005054473877,1.7087606191635132,16323.0
2000-04-13,,,,2.638732671737671,1.6677095890045166,15501.0
2000-04-14,,,,2.638732671737671,1.5821861028671265,14794.0
2000-04-17,,,,2.3480236530303955,1.539424180984497,14816.0
2000-04-18,,,,2.4209251403808594,1.539424180984497,15408.0
2000-04-19,,,,2.275571584701538,1.5009381771087646,14926.0
2000-04-20,,,,2.2809388637542725,1.575771689414978,15203.0
2000-04-21,,,,2.2809388637542725,1.575771689414978,
2000-04-24,,,,2.236213445663452,1.5608044862747192,14794.0
2000-04-25,,,,2.437474250793457,1.624519944190979,15401.0
2000-04-26,,,,2.401247024536133,1.706195592880249,15446.0
2000-04-27,,,,2.4039299488067627,1.659157156944275,15440.0
2000-04-28,,,,2.4043772220611572,1.7104711532592773,15538.0
2000-05-01,,,,2.4043772220611572,1.7104711532592773,
2000-05-02,,,,2.4625182151794434,1.7151747941970825,15524.0
